event_tapology_id,event_tapology_url,event_name,event_date_raw,event_date,promotion_name,promotion_tapology_id,promotion_tapology_url
2500,https://www.tapology.com/fightcenter/events/2500-pride-and-glory-3-glory-days,Pride and Glory 3,2004-Aug  7,2004-08-07,,,
3246,https://www.tapology.com/fightcenter/events/3246-kotc-underground-39-eliminator,KOTC Underground 13,2007-Jun  2,2007-06-02,KOTC,70,https://www.tapology.com/fightcenter/promotions/70-king-of-the-cage-kotc
111548,https://www.tapology.com/fightcenter/events/111548-amsterdam-fight-club-3-ouzgni-vs-gunyar,Amsterdam Fight Club 3,2010-Feb 27,2010-02-27,,,
111587,https://www.tapology.com/fightcenter/events/111587-next-generation-warriors-3,Next Generation Warriors 3,2009-May 31,2009-05-31,NGW,4138,https://www.tapology.com/fightcenter/promotions/4138-next-generation-warriors-ngw
111586,https://www.tapology.com/fightcenter/events/111586-slamm-return-of-the-boys,Slamm!!: Return Of The Boys,2008-Dec 29,2008-12-29,SLAMM,3520,https://www.tapology.com/fightcenter/promotions/3520-slamm-slamm
111585,https://www.tapology.com/fightcenter/events/111585-ring-sensation-2008,Ring Sensation 1,2008-Nov 23,2008-11-23,,,
111584,https://www.tapology.com/fightcenter/events/111584-balans-fight-night-2006,Balans Fight Night 2006,2006-Mar 26,2006-03-26,,,
67679,https://www.tapology.com/fightcenter/events/67679-local-kombat-18-revenge,Local Kombat 18,2005-Dec 18,2005-12-18,FLKR,3442,https://www.tapology.com/fightcenter/promotions/3442-federatia-local-kombat-romania-flkr
7365,https://www.tapology.com/fightcenter/events/7365-al-fid-fight-night-2005,Al-Fid Fight Night 2005,2005-Apr 30,2005-04-30,,,
67676,https://www.tapology.com/fightcenter/events/67676-local-kombat-11-iftimoaie-vs-bodrozic,Local Kombat 11,2004-Dec 10,2004-12-10,FLKR,3442,https://www.tapology.com/fightcenter/promotions/3442-federatia-local-kombat-romania-flkr
111583,https://www.tapology.com/fightcenter/events/111583-muay-thai-express-1,Muay Thai Express 1,2003-May 31,2003-05-31,,,
69545,https://www.tapology.com/fightcenter/events/69545-ichigeki-tokyo-2002,Ichigeki: Urayasu 2002,2002-Aug 10,2002-08-10,,,
111582,https://www.tapology.com/fightcenter/events/111582-utrecht-fight-night-2002-bad-boys-day,Bad Boys Day 2002,2002-Jul  7,2002-07-07,,,
67941,https://www.tapology.com/fightcenter/events/67941-k-1-burning-2001,K-1: Burning 2001,2001-Apr 15,2001-04-15,K-1,68,https://www.tapology.com/fightcenter/promotions/68-k-1-premium-dynamite-k-1
75384,https://www.tapology.com/fightcenter/events/75384-victory-or-hell-1,Victory Or Hell 1,2000-Oct  8,2000-10-08,,,
79644,https://www.tapology.com/fightcenter/events/79644-haarlem-fight-night-1999,Haarlem Fight Night 1999,1999-Oct 21,1999-10-21,,,
67118,https://www.tapology.com/fightcenter/events/67118-the-fight-of-the-champions-1998,WPKL: The Fight of the Champions,1998-Sep 26,1998-09-26,,,
111581,https://www.tapology.com/fightcenter/events/111581-nijmegen-fight-niht-1998,Nijmegen Fight Night 1998,1998-Feb 15,1998-02-15,,,
111580,https://www.tapology.com/fightcenter/events/111580-amsterdam-fight-night-1997,Amsterdam Fight Night 1997,1997-Nov 27,1997-11-27,,,
66773,https://www.tapology.com/fightcenter/events/66773-battle-of-the-best-1997,Battle Of The Best 1997,1997-May 11,1997-05-11,,,
46388,https://www.tapology.com/fightcenter/events/46388-x-1-world-events,X-1 World Events 47,2017-Jun 24,2017-06-24,X1,630,https://www.tapology.com/fightcenter/promotions/630-x-1-world-events-hawaii-x1
18324,https://www.tapology.com/fightcenter/events/18324-kotc-devastation,KOTC: Devastation,2013-Apr 11,2013-04-11,KOTC,70,https://www.tapology.com/fightcenter/promotions/70-king-of-the-cage-kotc
4802,https://www.tapology.com/fightcenter/events/4802-x-1-world-events-18-new-beginning,X-1 World Events 24,2009-Feb 27,2009-02-27,X1,630,https://www.tapology.com/fightcenter/promotions/630-x-1-world-events-hawaii-x1
