id,tapology_promotion_id,tapology_slug,name,baseline_strength,sport_type
a34540f7-377c-54b1-b030-fb072ea1efcf,4276,4276-urijah-faber-s-a1-combat-a1c,Urijah Faber's A1 Combat,0.48450,mma
900b77f8-9757-5f1b-9715-4ae19c60e132,234,234-rage-in-the-cage-ritc,Rage in the Cage,0.48400,mma
c5c90dfb-6e6f-56ba-aa3d-bcaae20f2c0c,3775,3775-xmma-xmma,XMMA,0.48350,mma
d265ecea-1138-5444-8040-c3c56cfcfc70,3356,3356-universal-boxing-organisation-ubo,Universal Boxing Organisation,0.48300,boxing
e8f1598e-d1e4-5ccb-b251-b7c96014ef2b,273,273-ultimate-victory-challenge-uvc,Ultimate Victory Challenge,0.48300,mma
6de1cba7-0ca6-592f-9bc3-335341588d79,4499,4499-russian-cagefighting-championship-rcc,Russian Cagefighting Championship,0.48250,mma
f7a85f96-554e-53c4-a3b7-fcca16a04b30,4649,4649-blk-prime-boxing-blkpb,BLK Prime Boxing,0.48200,boxing
e1418a29-d038-5759-8992-4363ba73835c,1036,1036-league-s-70-s70,Sambo 70,0.48200,mma
eed745d8-9a72-5a14-9444-4bfabc539277,431,431-white-rex-wr,White Rex Pro,0.48150,mma
ac08b344-a103-5869-97ae-e52b8b37dcd8,2506,2506-all-star-boxing-asb,All Star Boxing,0.48100,boxing
5fb5de04-3428-556a-8882-c4df6afe383e,256,256-professional-fighting-championships-pfc,Professional Fighting Championships,0.48100,mma
92047392-4263-5fac-af22-19a9f0bc7997,197,197-world-fighting-federation-wff,World Fighting Federation,0.48050,mma
27ff6431-2900-57f3-9f00-e651dd001fd1,526,526-ring-of-fire-brazil-rof,Ring of Fire,0.48040,mma
7e1df197-a726-5869-9e02-36f8bf7d05c9,27,27-proelite-mma,ProElite MMA,0.48030,mma
10f7e67a-ba84-51ba-8726-2eb8c35909b4,406,406-vale-tudo-japan-vtj,Vale Tudo Japan,0.48020,mma
